"idx","review_id","review_date","rating","review_text","reviewer_hash","app_version","thumbs_up","developer_reply","reply_date","아이_학습후_성장경험_부족","부모_체계적_금융학습_확인_부족","돈이_학습행동의_동기가_된_경험","돈보상의_아쉬움_또는_부작용","아이의_학습_지속_흥미_이용의욕","부모의_금전적_보상부담","참고_학습효과_긍정_언급","학습흥미_방향","P2_근거강도","대표_페인포인트","근거가_되는_리뷰_원문","분류_이유"
"11","95c2bc04-687d-4d3d-bb1e-1bd494d5cb76","2026-06-11","3","잘쓰고 있었는데 에러발생하네요..고객센터 문의는 오전만 운영하고..그시간에 문의 못하면 어떻게 쓰라는건지요.빨리 해결해주세요","33f1cc26c52e","26.5.2","0","안녕하세요, 해당 오류는 저녁 8시30분 부터 복구 완료되었습니다. 현재 퍼핀앱 정상 이용이 가능하며 금융 기능에는 이상이 없으니 안심해주셔도 되어요. 이용에 불편을 드려 진심으로 죄송합니다. 자세한 오류 사유에 대해서도 빠르게 공지 게시하도록 하겠습니다. 기다려주셔서 감사드립니다.","2026-06-11","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"12","f012b9cf-a694-46d9-88a6-24c6aee12d1c","2026-06-11","3","앱을 잘 쓰고는 있었지만 에러가 안고쳐져요 에러가 떠서 재설정을 하면 고객셈터에 문의하라고 하네요 에러고치기가 너무 어렵습니다","68a2bbf429ac","26.5.2","0","안녕하세요, 해당 오류는 저녁 8시30분 부터 복구 완료되었습니다. 현재 퍼핀앱 정상 이용이 가능하며 금융 기능에는 이상이 없으니 안심해주셔도 되어요. 이용에 불편을 드려 진심으로 죄송합니다. 자세한 오류 사유에 대해서도 빠르게 공지 게시하도록 하겠습니다. 기다려주셔서 감사드립니다.","2026-06-11","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"13","15121e03-61bd-4f75-9cb5-52c8bdb7d8a5","2026-06-11","3","오늘 앱에 들어가 비밀번호를 입력하면 ""에러가 발생했습니다. 고객센터로 문의해주세요.""가 계속해서 나오네요. 엄연한 금융앱인데 에러가 너무 많아요. 혹시 안제쯤 고쳐질까요..","504f3db1f7a9","26.5.2","0","안녕하세요, 해당 오류는 저녁 8시30분 부터 복구 완료되었습니다. 현재 퍼핀앱 정상 이용이 가능하며 금융 기능에는 이상이 없으니 안심해주셔도 되어요. 이용에 불편을 드려 진심으로 죄송합니다. 자세한 오류 사유에 대해서도 빠르게 공지 게시하도록 하겠습니다. 기다려주셔서 감사드립니다.","2026-06-11","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"14","a93b95aa-c8e6-4868-905c-a31d5065ea6a","2026-06-11","3","오늘 왜 이렇게 접속이 안돼죠? 아까 낮에 아이 용돈주려고 제 계좌에 충전해놨는데 저녁무렵부터 계속에러ㅠ 지금 스터디카페 간다는데 용돈못주고 있어요 핸폰도 껐다켜고 몇번이나 다시해보는데 오늘 왜이러나요","ff6827c48436","26.5.2","0","안녕하세요, 해당 오류는 저녁 8시30분 부터 복구 완료되었습니다. 현재 퍼핀앱 정상 이용이 가능하며 금융 기능에는 이상이 없으니 안심해주셔도 되어요. 이용에 불편을 드려 진심으로 죄송합니다. 자세한 오류 사유에 대해서도 빠르게 공지 게시하도록 하겠습니다. 기다려주셔서 감사드립니다.","2026-06-11","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"15","0ab7e6a4-05da-46c9-af11-e85d75c36030","2026-06-11","1","계속 에러라는데요.지웠다깔아도 그러네요","5850b5b8b2c9","26.5.2","0","안녕하세요, 해당 오류는 저녁 8시30분 부터 복구 완료되었습니다. 현재 퍼핀앱 정상 이용이 가능하며 금융 기능에는 이상이 없으니 안심해주셔도 되어요. 이용에 불편을 드려 진심으로 죄송합니다. 자세한 오류 사유에 대해서도 빠르게 공지 게시하도록 하겠습니다. 기다려주셔서 감사드립니다.","2026-06-11","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"16","86d72529-a0d0-4704-bfe5-4df0e902e893","2026-06-11","1","퍼핀에러 언제고쳐지나요","8924caf6bbf8","26.5.2","0","안녕하세요, 해당 오류는 저녁 8시30분 부터 복구 완료되었습니다. 현재 퍼핀앱 정상 이용이 가능하며 금융 기능에는 이상이 없으니 안심해주셔도 되어요. 이용에 불편을 드려 진심으로 죄송합니다. 자세한 오류 사유에 대해서도 빠르게 공지 게시하도록 하겠습니다. 기다려주셔서 감사드립니다.","2026-06-11","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"17","b5dba02b-121d-4fe9-aaec-f019cc4e1838","2026-06-11","4","에러납니다 고객센터 연락하라는데 아이것도 마찬가지에요","370d76052850","26.5.2","0","안녕하세요, 해당 오류는 저녁 8시30분 부터 복구 완료되었습니다. 현재 퍼핀앱 정상 이용이 가능하며 금융 기능에는 이상이 없으니 안심해주셔도 되어요. 이용에 불편을 드려 진심으로 죄송합니다. 자세한 오류 사유에 대해서도 빠르게 공지 게시하도록 하겠습니다. 기다려주셔서 감사드립니다.","2026-06-11","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"18","863e7308-0782-4192-a68a-1b3a20313c16","2026-06-11","4","갑자기에러라고하는데요 뭐죠","de07dc5f9136","26.5.2","0","안녕하세요, 해당 오류는 저녁 8시30분 부터 복구 완료되었습니다. 현재 퍼핀앱 정상 이용이 가능하며 금융 기능에는 이상이 없으니 안심해주셔도 되어요. 이용에 불편을 드려 진심으로 죄송합니다. 자세한 오류 사유에 대해서도 빠르게 공지 게시하도록 하겠습니다. 기다려주셔서 감사드립니다.","2026-06-11","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"19","9dd6c2c7-8207-4977-a499-167bd0881b6b","2026-06-11","1","계속에러가발생합니다","5de3c30d366b","26.5.2","1","","","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"20","45b219fe-5949-4a96-ba64-9d587162b3f2","2026-06-11","1","와씨 갈수록 나아지는게 없네!!!! 지금 입금하고 잔액봐야하는데 어플 여니까 왜 에러났다며 고객센터에 문의하라고 뜨는거임? 업뎃 다 되어있는데 간간히 어플 볼때마다ㅡㅡ왜 이러는건지 개답답하네진짜","024a7f1e5e51","26.5.2","22","안녕하세요, 해당 오류는 저녁 8시30분 부터 복구 완료되었습니다. 현재 퍼핀앱 정상 이용이 가능하며 금융 기능에는 이상이 없으니 안심해주셔도 되어요. 이용에 불편을 드려 진심으로 죄송합니다. 자세한 오류 사유에 대해서도 빠르게 공지 게시하도록 하겠습니다. 기다려주셔서 감사드립니다.","2026-06-11","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"21","ea7bbf16-258d-4a2f-8d23-d38f46adfc53","2026-06-11","3","자꾸 에러가 뜨는데 고객센타 문의 하라는데,고객센타 연락처도 안 보이는데요.ㅜㅜ","4bc4c27da03d","26.5.2","0","안녕하세요, 해당 오류는 저녁 8시30분 부터 복구 완료되었습니다. 현재 퍼핀앱 정상 이용이 가능하며 금융 기능에는 이상이 없으니 안심해주셔도 되어요. 이용에 불편을 드려 진심으로 죄송합니다. 자세한 오류 사유에 대해서도 빠르게 공지 게시하도록 하겠습니다. 기다려주셔서 감사드립니다.","2026-06-11","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"22","434ee185-d255-410d-88b5-2821854361fa","2026-06-02","1","솔직히 좀 문제와 에러가 많이 떠서 놀림받은적이 있어가지고 에러를 좀 고쳐줬으면...합니당. 근데 또 좋운점이 경제생활에 도움이되어 좋아용! ♡♡","b655ae32eb2c","26.5.2","2","안녕하세요, 어떤 문제가 있는지 상담 채널에 말씀해주시면 도움을 드릴 수 있어요. 1:1 채팅 상담 주소를 전달드리며 별 점 수정도 살짝쿵 부탁드려 보아요^^ (firfin.channel.io)","2026-06-02","0","0","0","0","0","0","1","","","","솔직히 좀 문제와 에러가 많이 떠서 놀림받은적이 있어가지고 에러를 좀 고쳐줬으면...합니당. 근데 또 좋운점이 경제생활에 도움이되어 좋아용! ♡♡","아이가 경제·금융 지식을 실제로 익혔다는 경험 기반 서술 (핵심 페인포인트에 대한 반증 자료)."
"23","25021967-3da8-45fe-b282-ee7923d55df0","2026-05-30","1","퍼핀 교통카드 레일플러스인데 너무 불편해요! 꼭 편의점이나 나가서 충전해야한다는게 너무 불편하네요! 계좌나 어떻게 안나가고 바로 충전할수 있는 방법 없나요?!!","c618d387ca48","26.5.2","8","안녕하세요, 퍼핀 카드에는 레일플러스 또는 이즐 교통 기능이 탑재되어 있어요. 이즐 교통회사의 겨우 전용앱(이즐충전소앱)을 통해 온라인 충전도 가능합니다. 희망하신다면 카드 교체를 권해드려요. 추가로 궁금한 점이 있으시다면 퍼핀 1:1 고객센터 상담창에 언제든 문의글을 남겨주세요^^ (1:1실시간 채팅상담 주소: firfin.channel.io)","2026-06-01","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"24","379add24-6144-4c52-97cb-35b5bb2da355","2026-05-18","1","저기요 제발 이상한 광고 알림 보내지 마세요!!!!! 계속 퍼핀플러스가입하라고 생쇼를 다하는데 도대채 왜 이렇게 하는건가요? 혹시나 광고 알림 보내는거채크했다먄 그거 끄는기능 알려주세요 진짜 영상찍을때 위에 퍼핀얼굴있고 스크린샷찍으먄 있고 항상 (광고) 퍼핀플러스로 매년 9만원이상 이딴거 그만나오게해주새요 그냥 (83,949원남음)이런거만 뜨게 해주세요","da3c1eac3c94","26.3.3","7","안녕하세요, 알림은 설정에서 수정이 가능해요:) 자녀 회원이시라면 퍼핀앱>더보기>설정>알림설정>이벤트 알림을 OFF 해주세요. 감사합니다.","2026-05-19","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"25","933a1774-6f6e-4775-98d8-1de3e3168074","2026-05-18","5","너무좋아요","3cd9e2a94a0a","26.3.3","0","","","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"26","06e8b8e7-3f17-42f3-ae60-a0b7d25584ba","2026-05-03","3","이거 학생계정 만들때 부모님 않깔고 부모님승인 받는법 있나요?","e11cb4302dbc","","0","","","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"27","9617c358-1b27-4e7b-9a78-ee3b6fab57a1","2026-04-28","5","여러분 이거꼭 써야함 일단 장점1번째 이건 퀴즈풀면 몇 백원씩 들어옴 2번째 계좌이체 다가능!!!! 이거 꼭 쓰셈 그리고 궁금한거 바코드결제 돈 다하는거임????","aef31d17b8ba","26.3.3","0","","","0","0","1","0","0","0","0","","","돈이_학습행동의_동기가_된_경험","여러분 이거꼭 써야함 일단 장점1번째 이건 퀴즈풀면 몇 백원씩 들어옴 2번째 계좌이체 다가능!!!! 이거 꼭 쓰셈 그리고 궁금한거 바코드결제 돈 다하는거임????","퀴즈·문제풀이와 금전 보상을 연결지어 긍정적으로 서술 — 보상이 학습 행동의 이유로 제시됨."
"28","ee5740cd-5dab-4b13-ba8d-6d2c421e524f","2026-04-21","2","우리 아이에게 첫 카드로 추천들 하고 나도 추천할 수는 있다. 하지만, 광고를 통해 용돈 관리력을 기르기 전에 현질에 노출될 가능성이 크다. 이 점이 상당한 마이너스라고 보여진다. 패밀리링크로 브라우저, 유튭 막았는데 광고 타고 서핑하는 우리 아드님....ㅜㅜ 부적절한 광고는 노오력한다고 막을 수 있는게 아닐텐데, 한번의 실패가 그 동안 쌓은 모든 것을 허물어 버릴텐데 아쉽다. 차라리 부모계정에게만 광고를 붙이고 알람을 보내는 것은 어떨지. 한 푼 두 푼 모은 돈. 지름신에게 낚여 탕진할 뻔한 울 아들. 광고 알람 눌러서 계좌번호 누르라고 해서 눌렸다는 우리 아들. 이 앱을 우짢다냐.","d4d01b3a4e19","26.3.3","9","안녕하세요, 말씀해주신 부분 충분히 공감합니다. 우려하시는 점을 내부에서도 중요하게 보고 있으며, 현재 광고는 만 14세 이상 사용자에게만 노출되도록 개선 중입니다.
자녀 연령대에 맞지 않는 광고 노출을 줄일 수 있도록 지속적으로 보완하겠습니다.

이번 일을 계기로 퍼핀 앱을 통해 자녀와 함께 용돈의 쓰임과 소비 습관에 대해 이야기 나눠보시는 것도 도움이 되실 것 같습니다. :)

소중한 의견 감사드리며, 더 안전하고 신뢰할 수 있는 서비스가 될 수 있도록 노력하겠습니다. 감사합니다.^^","2026-04-22","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"29","9c3f2e7b-876d-48ea-8519-0f14408ade75","2026-04-18","5","👍","2cf38479d243","26.3.3","0","","","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"30","1b8f34cc-8d69-4a1a-84e3-a5be87c07a5c","2026-04-18","2","다 좋고 괜찮은데 저금액 수 제한이 너무 적은 것 같아요ㅠㅠ 좀 더 늘려주면 좋을 것 같아요","2ddc119b7556","26.3.3","0","안녕하세요, 말씀해주신 보유 한도 부분이 아쉽게 느껴지실 수 있을 것 같아요.
다만 퍼핀카드는 선불충전카드로, 관련 규정에 따라 보유 한도가 최대 50만원으로 제한되어 있어 별도로 상향이 어려운 점 양해 부탁드립니다.

보다 큰 금액을 관리하시고자 하신다면 퍼핀앱 투자메뉴 > 자녀 CMA 계좌를 개설을 함께 이용하시는 것을 권장드립니다. 퍼핀앱에서 연동하여 확인 및 관리가 가능해, 저금과 소비를 보다 효율적으로 나누어 관리하실 수 있을 것 같습니다.^^","2026-04-22","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"31","2ed5c636-82e7-4a10-bd23-78fd02384c91","2026-03-24","5","제가 본 것 중에 가장 좋았어요","0239c5b7eddd","26.3.0","0","","","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"32","05a88fc3-8dc6-4a65-930f-ee9bc2b505c9","2026-03-19","5","좋네요 ~ 다만 무료 상식 퀴즈는 하루에 하나만 풀 수 있다는 점이 아쉬워요..ㅜ","856741b8c0be","26.3.0","0","","","0","0","0","0","1","0","0","긍정","","아이의_학습_지속_흥미_이용의욕","좋네요 ~ 다만 무료 상식 퀴즈는 하루에 하나만 풀 수 있다는 점이 아쉬워요..ㅜ","아이의 학습(퀴즈·투자체험) 흥미·지속·의욕을 언급 (긍정)."
"33","3d83c05f-9adf-487a-a8fd-3063c8f567ca","2026-03-14","3","송금할때 자꾸 백원씩 가져가서 계좌이체할때 불편해요","b15a5fade208","26.3.0","5","안녕하세요, 자녀 회원의 경우 다른 은행 계좌로 송금 시 월 5회까지 수수료가 무료로 제공되고 있어요.
다만 플러스 멤버십 회원은 송금 수수료가 전액 무료 혜택이 추가로 제공되는 점 이용에 참고 부탁드립니다^^","2026-04-22","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"34","9a88cc9f-96d3-470e-ac77-a7c886862e1f","2026-03-13","3","상담원 연결 ai 말고 사람과 통화하고 싶어요 해석 할수없다고만 하고 답답해요 부모님 계좌 자동이체로 충전하게끔 해뒀는데 잔액부족이라고 충전안됩니다 해결방안 제시해주세요","06c855ffdba2","26.3.0","1","안녕하세요, 부모님 지갑 자동충전 기능은 플러스 멤버십 회원의 혜택이에요. 혹시 이용에 문제가 있다면 상담원과 1:1 채팅 상담 또는 전화상담 이 가능한 링크를 안내드립니다. ^^ (고객센터: firfin.channel.io)","2026-04-22","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"35","6d343c9e-7442-4e0a-ac5e-a971b4397a8c","2026-03-11","1","계좌번호바뀌고나서 왜 입금이 안될까요?","1c7f6312da8b","26.2.1","3","안녕하세요, 입금에 어떤 문제가 있는 경우 계좌번호 변경과는 무관한 다른 이유가 있을 수 있어요. (보유 한도 초과, 한 달 송금액 초과 등) 자세한 확인이 필요하시다면 1:1 실시간 채팅 상담을 통해 진행하실 수 있습니다. 감사합니다. (고객센터: firfin.channel.io)","2026-04-22","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"36","02a3cc7f-ccf5-4187-bf40-02f788badd71","2026-02-28","4","다 좋은데 아이들이 퍼핀통해서 유트브접속이 가능합니다. 유료사용중인데 퍼핀을 계속써야할지 고민입니다.","f24331c43492","26.2.1","0","","","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"37","834bd971-2f04-4789-ba65-7a0b545521cf","2026-02-27","5","다양한 앱도많다","77a146759773","26.2.1","0","","","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"38","b6d96028-f22f-4956-b401-fa410a4acbb1","2026-02-19","1","이게 맞나 길팬암 GG","f7312a9628d8","26.1.4","0","","","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"39","61b38a6a-0c46-47bc-a811-1ce9b7a6cc72","2026-02-17","4","우선 제가 사용해본 카드 앱 들 중에서 가장 편리했습니다! 다만 제가 카드를 잘 가지고 다니지 않아 바코드 결제를 자주 사용하는데 이 앱에는 체인점이 아닌 일부 매장에서는 바코드 결제를 하지 못합니다. 그래서 적립이 없는 대신 아무 곳에서나 사용할 수 있는 바코드 결제를 만들어 주시면 감사하겠습니다. 그 기능만 추가해 주시면 앞으로 퍼핀만 사용하겠습니다!","e8e5aa8ef791","26.1.4","33","안녕하세요, 퍼핀을 이용해주셔서 감사합니다^^
바코드 결제 매장 추가는 계속 확대하고자 합니다! 시간이 다소 소요될 수 있는 부분이지만 최선을 다해 확장하고자 노력하고 있으니 많은 이용 부탁드립니다 . 감사합니다!","2026-04-22","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"40","f3615980-9173-4643-8fc8-a79711f0479b","2026-02-17","4","퀴즈가 어린이 들이 공부하기 좋아요","8f82cb511072","26.1.4","0","","","0","0","0","0","0","0","1","","","","퀴즈가 어린이 들이 공부하기 좋아요","아이가 경제·금융 지식을 실제로 익혔다는 경험 기반 서술 (핵심 페인포인트에 대한 반증 자료)."
"41","3467b042-8861-414c-bb54-49c3e0d29428","2026-02-13","1","제작자님 재발라라라라라ㅏㄹ랄라랄라라라라랄 퍼핀에서 기프티콘 사게 해주세요 제발 그리고 멤 버쉽 아니여도 뭘 쫌 할수있게 해주세요 뭔 다 멤버쉽 아니면 뭘 할수있는데 없어요","f4e9bc35c900","","0","안녕하세요, 퍼핀앱에서도 이제 기프티콘을 예약 구매하실 수 있게 되었어요. 관련 상품은 앞으로 점차 다양하게 확대해 나갈 예정입니다.^^

멤버십 회원이 아니시더라도 앱을 통해 다양한 기능을 이용하실 수 있는데요, 혹시 사용하시면서 필요하다고 느끼신 기능이나 개선되었으면 하는 점이 있으실까요?
주신 의견은 내부에 잘 전달하여 더 나은 서비스로 발전할 수 있도록 하겠습니다. 감사합니다^^","2026-04-22","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"42","7a3951c5-d92d-4799-96ac-37e056ac2572","2026-01-13","3","오늘 에러가 너무 처리가 안됩니다. 지금도 미국주식종목 구경하기로 이동하면 ""에러가 발생했습니다. 고객센터로 문의해주세요""가 종일 발생합니다. 어쨌든 금융앱인데, 신뢰할 수 있어야죠? 아들을 위해 설치하고 이용하고 있는데 빠르고 적극적인 대응을 부탁드립니다. 다른 글보니깐 에러가 나면 현상 확인이 어려운 상황 등이 있는데, 개발팀에서 아마도 에러 로그 찍어보면 다 나옵니다. 지금도 엄청 찍히고 있을건데 종일 대응 안되는지 이해가 어렵습니다. 조치 좀 해주세요 제발.... 그래도 아이가 용돈 잘 사용할 수 있고 모의 주식투자로 투자 경험도 할 수 있어 너무 애정하는 서비스입니다.","09ddab2ef5a3","25.11.1","6","안녕하세요. 이용에 불편을 드려 대단히 죄송합니다. 주식 관련 오류는 모두 정상화되었으니 다시 한 번 확인해 주시면 감사하겠습니다. 앞으로도 더 나은 서비스를 제공할 수 있도록 최선을 다하겠습니다. 감사합니다. :)","2026-01-14","0","0","0","0","0","0","1","","","","… 고객센터로 문의해주세요""가 종일 발생합니다. 어쨌든 금융앱인데, 신뢰할 수 있어야죠? 아들을 위해 설치하고 이용하고 있는데 빠르고 적극적인 대응을 부탁드립니다.…","아이가 경제·금융 지식을 실제로 익혔다는 경험 기반 서술 (핵심 페인포인트에 대한 반증 자료)."
"43","75e94dc3-33e9-45d1-9c78-0d8e7b7d1e86","2026-01-09","5","내가 자급자족을 할 수 있어서 좋다.","639c66a49404","25.11.1","0","","","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"44","562da151-29d3-4655-9ed5-9a21f9588468","2025-12-31","3","자꾸뜅겨나가요ㅡㅡ","f020e814804e","25.11.1","0","안녕하세요, 휴대폰 기기와 퍼핀 앱이 모두 최신 버전으로 업데이트되어 있는지 먼저 확인 부탁드립니다.
현재로서는 상태 확인이 어려워, 보다 정확한 안내를 위해 1:1 채팅 상담창을 통해 계속 상담을 진행해 주시길 권해드립니다.
(firfin.channel.io)","2026-01-02","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"45","a2af4b83-64e3-4e83-9348-c7f94e1f44dc","2025-12-16","5","진짜 너무 사용하기 편하고 자기가 원하는 만큼 저금하고 꺼네쓸수 있어서 너무 좋아요 강추!!!","520d41799b01","25.11.1","1","","","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
